table_name,keep_delete_update,alter_sql_or_notes,message_to_database_administrator
chaos_beta.table_commands,KEEP,"ALTER TABLE `chaos_beta`.`table_commands` ADD INDEX idx_venue_status (supplier_account, status); -- tune names.",Venue table ordering: keep for restaurant flows; separate from Grandma retail if product splits apps.
chaos_beta.table_creation_rate_limit,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.table_participants,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.table_reactivation_log,KEEP,ALTER TABLE `chaos_beta`.`table_reactivation_log` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.top_latest_products,UPDATE,-- Materialized or summary tables: document rebuild job; consider refreshing via cron not manual SQL.,Summary/top tables: keep if app reads them; otherwise candidate to replace with views or nightly job output.
chaos_beta.top_ordered_products,UPDATE,-- Materialized or summary tables: document rebuild job; consider refreshing via cron not manual SQL.,Summary/top tables: keep if app reads them; otherwise candidate to replace with views or nightly job output.
chaos_beta.top_rated_products,UPDATE,-- Materialized or summary tables: document rebuild job; consider refreshing via cron not manual SQL.,Summary/top tables: keep if app reads them; otherwise candidate to replace with views or nightly job output.
chaos_beta.transport_distances,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.urubuto_payment_notifications,KEEP,"ALTER TABLE `chaos_beta`.`urubuto_payment_notifications` ADD INDEX idx_status_created (status, created_at); -- adjust to actual columns.","Financial data: strict backups, least-privilege DB users, no direct prod edits. Reconcile with MoMo/EBM exports."
chaos_beta.urubuto_transactions,KEEP,"ALTER TABLE `chaos_beta`.`urubuto_transactions` ADD INDEX idx_status_created (status, created_at); -- adjust to actual columns.","Financial data: strict backups, least-privilege DB users, no direct prod edits. Reconcile with MoMo/EBM exports."
chaos_beta.user_interactions,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.user_preferences,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.vehicles,KEEP,"ALTER TABLE `chaos_beta`.`vehicles` ADD INDEX idx_active_location (status, updated_at); -- tune to schema.",Logistics: keep for rider flows. Location tables may grow fast; partition or archive by month if needed.
chaos_beta.vsdc_receive_msg,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.webhook_retries,KEEP,ALTER TABLE `chaos_beta`.`webhook_retries` ADD INDEX idx_created (created_at); -- purge job for resolved rows.,Operational diagnostics: keep for incident response. Schedule cleanup so errors table does not grow unbounded.
chaos_beta.wishlist,KEEP,"ALTER TABLE `chaos_beta`.`wishlist` ADD UNIQUE KEY uq_user_item (user_id, item_id); -- adjust column names.",Favorites/wishlist: align with product (single user-facing list). Prevent duplicate rows with a unique constraint.
